,1
0,0.29612312838435173
1,0.4223428815603256
2,0.42400597035884857
3,0.44449909776449203
4,0.475421667098999
5,0.5686197355389595
6,0.29787999391555786
7,0.37703049927949905
8,0.16402708366513252
9,0.49161747097969055
10,0.3530748635530472
11,0.3699372969567776
12,0.7643653303384781
13,0.34028780460357666
14,0.7792477905750275
15,0.4376459941267967
16,0.3701837435364723
17,0.6185554787516594
18,0.5245225057005882
19,0.3603362366557121
20,0.4765736907720566
21,0.4763863608241081
22,0.6004883944988251
23,0.4376459941267967
24,0.46425818651914597
25,0.33200447261333466
26,0.37004315853118896
27,0.45606575906276703
28,0.6714776828885078
29,0.6405850723385811
30,0.43191610276699066
31,0.7582428604364395
32,0.7047788873314857
33,0.9483666941523552
34,0.85141222178936
35,0.9738153219223022
36,0.9200389385223389
37,0.8357781767845154
38,0.9309200644493103
39,0.7780048847198486
40,0.4047488421201706
41,0.9154303446412086
42,0.5359674096107483
43,0.8027574419975281
44,0.7107619196176529
45,0.4891470968723297
46,0.42186497896909714
47,0.41371218115091324
48,0.6156668141484261
49,0.49223988503217697
50,0.2954100891947746
51,0.6259004920721054
52,0.22973782569169998
53,0.08476453274488449
54,0.5380341336131096
55,0.16824596375226974
56,0.42436331510543823
57,0.5740061104297638
58,0.5959912240505219
59,0.4376459941267967
60,0.4729604497551918
61,0.8303468748927116
62,0.8943138606846333
63,0.8364693745970726
64,0.6399037502706051
65,0.7072028666734695
66,0.9618578068912029
67,0.9623038545250893
68,0.7881022170186043
69,0.9817638956010342
70,0.8139844015240669
71,0.804313912987709
72,0.8105768635869026
73,0.8902586996555328
74,0.5310105830430984
75,0.6958321779966354
76,0.6958470642566681
77,0.4376459941267967
78,0.8519175499677658
79,0.5618590265512466
80,0.9039965197443962
81,0.6782395094633102
82,0.6982062235474586
83,0.6154042929410934
84,0.7007902041077614
85,0.3113624267280102
86,0.9439332149922848
87,0.7636881172657013
88,0.5581195577979088
89,0.8928259536623955
90,0.6864568814635277
91,0.3170103020966053
92,0.7419906258583069
93,0.8885166756808758
94,0.8656285777688026
95,0.7172849550843239
96,0.5528762862086296
97,0.8730968236923218
98,0.8474784791469574
99,0.4609760493040085
100,0.4517543092370033
101,0.5847629308700562
102,0.596855990588665
103,0.5368059501051903
104,0.8538433387875557
105,0.6183761656284332
106,0.8402155265212059
107,0.35931888222694397
108,0.4376459941267967
109,0.5797111466526985
110,0.6305037513375282
111,0.7459617406129837
112,0.43869951367378235
113,0.718583956360817
114,0.4366305321455002
115,0.2623068057000637
116,0.7995657548308372
117,0.42636919766664505
118,0.6511517763137817
119,0.8417478278279305
120,0.5797298923134804
121,0.46793312579393387
122,0.6300788372755051
123,0.5838841795921326
124,0.5506099984049797
125,0.5954557508230209
126,0.6423714607954025
127,0.48279889672994614
128,0.815467119216919
129,0.7435861676931381
130,0.8729622140526772
131,0.7494607716798782
132,0.8452456891536713
133,0.5880923867225647
134,0.6451989784836769
135,0.48960693180561066
136,0.8626923337578773
137,0.4376459941267967
138,0.6480955630540848
139,0.6018879637122154
140,0.7964232861995697
141,0.7154755368828773
142,0.5955354943871498
143,0.8760677017271519
144,0.8265789151191711
145,0.4450616240501404
146,0.42628976702690125
147,0.8283553794026375
148,0.9548811987042427
149,0.5732653737068176
150,0.5025504752993584
151,0.4376459941267967
152,0.4376459941267967
153,0.566075786948204
154,0.6924062147736549
155,0.4376459941267967
156,0.42390382289886475
157,0.4354366585612297
158,0.4815974608063698
159,0.6794353723526001
160,0.25654176250100136
161,0.7121761739253998
162,0.48557163774967194
163,0.2391630783677101
164,0.4376459941267967
165,0.8015533462166786
166,0.82167549431324
167,0.9641430899500847
168,0.8130644634366035
169,0.9538705199956894
170,0.7507594749331474
171,0.6511348187923431
172,0.7946111336350441
173,0.793488584458828
174,0.35075536370277405
175,0.26188095659017563
176,0.17719201371073723
177,0.3172640837728977
178,0.6645710617303848
179,0.632064625620842
180,0.5191348642110825
181,0.7131983116269112
182,0.9156163036823273
183,0.9300615005195141
184,0.45528148859739304
185,0.9615505263209343
186,0.8334862887859344
187,0.6360464692115784
188,0.6646261289715767
189,0.7674238681793213
190,0.9041664600372314
191,0.8679641336202621
192,0.17257692478597164
193,0.6179438605904579
194,0.4376459941267967
195,0.5395494475960732
196,0.5006202533841133
197,0.4812917113304138
198,0.3667312115430832
199,0.4376459941267967
200,0.6180826723575592
201,0.4376459941267967
